ime,lema,postag
Andrijevski,Andrijevski,Np-sn
Andrijić,Andrijić,Np-sn
Andrijin,Andrijin,Np-sn
Andrijolić,Andrijolić,Np-sn
Andrik,Andrik,Np-sn
Andrilović,Andrilović,Np-sn
Andrin,Andrin,Np-sn
Andriolić,Andriolić,Np-sn
Andriollo,Andriollo,Np-sn
Andriš,Andriš,Np-sn
Andrišek,Andrišek,Np-sn
Andrišević,Andrišević,Np-sn
Andrišić,Andrišić,Np-sn
Andriška,Andriška,Np-sn
Andrivukančić,Andrivukančić,Np-sn
Andrle,Andrle,Np-sn
Andrlić,Andrlić,Np-sn
Andrlik,Andrlik,Np-sn
Andrlon,Andrlon,Np-sn
Androci,Androci,Np-sn
Andročec,Andročec,Np-sn
Androić,Androić,Np-sn
Androja,Androja,Np-sn
Androjić,Androjić,Np-sn
Androlić,Androlić,Np-sn
Andromak,Andromak,Np-sn
Andromako,Andromako,Np-sn
Androš,Androš,Np-sn
Androšević,Androšević,Np-sn
Androšić,Androšić,Np-sn
Androtić,Androtić,Np-sn
