"Institucija";"Naslov";"IzvjescaURL";"DatumOtvaranja";"DatumZatvaranja";"OcekivanaObjavaIzvjesca";"Stanje";"DokumentiURL";"SavjetovanjeURL";"ID"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu upute za popunjavanje financijskih i dodatnih izvještaja faktoring društava";"/ECon/EconReport?entityId=6601";"13.12.2017.";"20.12.2017.";"24.12.2017.";"Izvješca objavljena";"/Documents/List/6601";"/ECon/MainScreen?entityId=6601";"6601"
"Ministarstvo regionalnog razvoja i fondova Europske unije";"Javno savjetovanje o Prijedlogu uredbe o indeksu razvijenosti";"/ECon/EconReport?entityId=6603";"13.12.2017.";"27.12.2017.";"12.01.2018.";"Izvješca objavljena";"/Documents/List/6603";"/ECon/MainScreen?entityId=6603";"6603"
"Ministarstvo unutarnjih poslova";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o sadržaju, obliku i nacinu izdavanja i oduzimanja dopuštenja (licencija)";"/ECon/EconReport?entityId=6608";"13.12.2017.";"23.12.2017.";"27.12.2017.";"Izvješca objavljena";"/Documents/List/6608";"/ECon/MainScreen?entityId=6608";"6608"
"Ministarstvo unutarnjih poslova";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o programu i nacinu osnovnog osposobljavanju nadzornika tehnicke ispravnosti vozila, nacinu strucnog usavršavanja i povjeri strucnosti nadzornika tehnicke ispravnosti vozila i referenata za poslove registracije vozila";"/ECon/EconReport?entityId=6611";"13.12.2017.";"23.12.2017.";"27.12.2017.";"Izvješca objavljena";"/Documents/List/6611";"/ECon/MainScreen?entityId=6611";"6611"
"Ministarstvo regionalnog razvoja i fondova Europske unije";"Javno savjetovanje o Prijedlogu odluke o razvrstavanju jedinica lokalne i podrucne (regionalne) samouprave prema stupnju razvijenosti";"/ECon/EconReport?entityId=6614";"13.12.2017.";"27.12.2017.";"12.01.2018.";"Izvješca objavljena";"/Documents/List/6614";"/ECon/MainScreen?entityId=6614";"6614"
"Ministarstvo financija";"Savjetovanje sa zainteresiranom javnošcu o Prijedlogu Pravilnika o placanju poreza na dodanu vrijednost pri uvozu dobara putem prijave PDV-a";"/ECon/EconReport?entityId=6594";"13.12.2017.";"20.12.2017.";"21.12.2017.";"Izvješca objavljena";"/Documents/List/6594";"/ECon/MainScreen?entityId=6594";"6594"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu pravilnika o izmjeni pravilnika o strukturi i sadržaju te nacinu i rokovima dostave financijskih i dodatnih izvještaja leasing društava";"/ECon/EconReport?entityId=6596";"13.12.2017.";"20.12.2017.";"24.12.2017.";"Izvješca objavljena";"/Documents/List/6596";"/ECon/MainScreen?entityId=6596";"6596"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu upute za popunjavanje financijskih i dodatnih izvještaja leasing društava";"/ECon/EconReport?entityId=6597";"13.12.2017.";"20.12.2017.";"24.12.2017.";"Izvješca objavljena";"/Documents/List/6597";"/ECon/MainScreen?entityId=6597";"6597"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o Nacrtu pravilnika o izmjeni pravilnika o kontnom planu leasing društava";"/ECon/EconReport?entityId=6598";"13.12.2017.";"20.12.2017.";"24.12.2017.";"Izvješca objavljena";"/Documents/List/6598";"/ECon/MainScreen?entityId=6598";"6598"
"Hrvatska agencija za nadzor financijskih usluga";"Savjetovanje o PravilnikU o izmjenama i dopunama Pravilnika o godišnjim, tromjesecnim i drugim izvještajima obveznog mirovinskog fonda";NA;"13.12.2017.";"20.12.2017.";"01.03.2018.";"Zatvoren";"/Documents/List/6586";"/ECon/MainScreen?entityId=6586";"6586"
