clanak_id,savjetovanje_id
325352,10305
325353,10305
325354,10305
325312,10305
325355,10305
325313,10305
325356,10305
325314,10305
325357,10305
325358,10305
325359,10305
325360,10305
325361,10305
325362,10305
325363,10305
325364,10305
325365,10305
325315,10305
325366,10305
325367,10305
325368,10305
325369,10305
325370,10305
325371,10305
325316,10305
325372,10305
325317,10305
325373,10305
325374,10305
325375,10305
325376,10305
325377,10305
325378,10305
325379,10305
325380,10305
325381,10305
325382,10305
325318,10305
325383,10305
325384,10305
325385,10305
325386,10305
325387,10305
325388,10305
325389,10305
325390,10305
325391,10305
325392,10305
325393,10305
325394,10305
325395,10305
325319,10305
325396,10305
325397,10305
325398,10305
325399,10305
325320,10305
325400,10305
325401,10305
325402,10305
325403,10305
325321,10305
325404,10305
325405,10305
325406,10305
325322,10305
325407,10305
325408,10305
325409,10305
325410,10305
325411,10305
325412,10305
325413,10305
325414,10305
325415,10305
