Institucija,Naslov,IzvjescaURL,DatumOtvaranja,DatumZatvaranja,OcekivanaObjavaIzvjesca,Stanje,DokumentiURL,SavjetovanjeURL,ID
Hrvatska agencija za nadzor financijskih usluga,Savjetovanje u vezi nacrta Pravilnika o vrsti i visini naknada Hrvatske agencije za nadzor financijskih usluga,/ECon/EconReport?entityId=6416,17.11.2017.,13.12.2017.,15.01.2018.,Izvješća objavljena,/Documents/List/6416,/ECon/MainScreen?entityId=6416,6416
Ministarstvo pravosuđa,Savjetovanje o Nacrtu prijedloga Zakona o područjima i sjedištima sudova,/ECon/EconReport?entityId=6417,17.11.2017.,05.12.2017.,06.12.2017.,Izvješća objavljena,/Documents/List/6417,/ECon/MainScreen?entityId=6417,6417
Ministarstvo znanosti i obrazovanja,Savjetovanje s javnošću o Prijedlogu plana zakonodavnih aktivnosti Ministarstva znanosti i obrazovanja za 2018. godinu.,/ECon/EconReport?entityId=6379,16.11.2017.,01.12.2017.,08.01.2018.,Izvješća objavljena,/Documents/List/6379,/ECon/MainScreen?entityId=6379,6379
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama i dopunama Pravilnika o uvjetima, kriterijima i načinu dodjele potpore u okviru mjere I.22. „Dodana vrijednost, kvaliteta proizvoda i korištenje neželjenog ulova“",/ECon/EconReport?entityId=6388,16.11.2017.,23.11.2017.,30.11.2017.,Izvješća objavljena,/Documents/List/6388,/ECon/MainScreen?entityId=6388,6388
Ministarstvo obrane,Javno savjetovanje o Nacrtu Prijedloga zakona o izmjenama i dopunama zakona o obrani,/ECon/EconReport?entityId=6392,16.11.2017.,01.12.2017.,05.12.2017.,Izvješća objavljena,/Documents/List/6392,/ECon/MainScreen?entityId=6392,6392
Ministarstvo obrane,Javno savjetovanje o Nacrtu prijedloga zakona o izmjenama i dopunama Zakona o službi u Oružanim snagama Republike Hrvatske,/ECon/EconReport?entityId=6394,16.11.2017.,01.12.2017.,05.12.2017.,Izvješća objavljena,/Documents/List/6394,/ECon/MainScreen?entityId=6394,6394
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Prijedlogu plana zakonodavnih aktivnosti Ministarstva zaštite okoliša i energetike za 2018. godinu i prethodnim procjenama,NA,16.11.2017.,30.11.2017.,15.12.2017.,Zatvoren,/Documents/List/6363,/ECon/MainScreen?entityId=6363,6363
Ministarstvo poljoprivrede,"Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama i dopunama Pravilnika o troškovima za usluge i postupke koje provodi Hrvatski centar za poljoprivredu, hranu i selo – Zavod za sjemenarstvo i rasadničarstvo",/ECon/EconReport?entityId=6366,15.11.2017.,29.11.2017.,06.12.2017.,Izvješća objavljena,/Documents/List/6366,/ECon/MainScreen?entityId=6366,6366
Ministarstvo zaštite okoliša i energetike,Javno savjetovanje o Nacrtu prijedloga Zakona o tržištu plina,/ECon/EconReport?entityId=6368,15.11.2017.,15.12.2017.,15.01.2018.,Izvješća objavljena,/Documents/List/6368,/ECon/MainScreen?entityId=6368,6368
Ministarstvo poljoprivrede,Savjetovanje s javnošću za Prijedlog pravilnika o izmjenama Pravilnika o provedbi sustava knjigovodstvenih podataka,/ECon/EconReport?entityId=6370,15.11.2017.,15.12.2017.,28.12.2017.,Izvješća objavljena,/Documents/List/6370,/ECon/MainScreen?entityId=6370,6370
Ministarstvo financija,"Nacrt prijedloga Zakona o prestanku važenja Zakona o provedbi Uredbe Europske unije o europskim fondovima poduzetničkog kapitala, s Konačnim prijedlogom zakona",/ECon/EconReport?entityId=6374,15.11.2017.,30.11.2017.,30.12.2017.,Izvješća objavljena,/Documents/List/6374,/ECon/MainScreen?entityId=6374,6374
Ministarstvo financija,"Nacrt prijedloga Zakona o prestanku važenja Zakona o provedbi Uredbe Europske unije o europskim fondovima socijalnog poduzetništva, s Konačnim prijedlogom zakona",/ECon/EconReport?entityId=6377,15.11.2017.,30.11.2017.,30.12.2017.,Izvješća objavljena,/Documents/List/6377,/ECon/MainScreen?entityId=6377,6377
"Ministarstvo mora, prometa i infrastrukture","Javno savjetovanje o ažuriranom Prijedlogu Plana zakonodavnih aktivnosti Ministarstva mora, prometa i infrastrukture za 2018. godinu i Obrascu prethodne procjene učinaka propisa na nacrt Zakona o prijevozu u cestovnom prometu",/ECon/EconReport?entityId=6356,15.11.2017.,30.11.2017.,07.12.2017.,Izvješća objavljena,/Documents/List/6356,/ECon/MainScreen?entityId=6356,6356
Ministarstvo kulture,Nacrt prijedloga Zakona o audiovizualnim djelatnostima,/ECon/EconReport?entityId=6361,14.11.2017.,14.12.2017.,15.01.2018.,Izvješća objavljena,/Documents/List/6361,/ECon/MainScreen?entityId=6361,6361
Ministarstvo poljoprivrede,Savjetovanje o Prijedlogu plana zakonodavnih aktivnosti za 2018. godinu i prethodnim procjenama,/ECon/EconReport?entityId=6351,14.11.2017.,29.11.2017.,15.12.2017.,Izvješća objavljena,/Documents/List/6351,/ECon/MainScreen?entityId=6351,6351
Ministarstvo kulture,Nacrt prijedloga Zakona o muzejima,/ECon/EconReport?entityId=6353,14.11.2017.,14.12.2017.,26.01.2018.,Izvješća objavljena,/Documents/List/6353,/ECon/MainScreen?entityId=6353,6353
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Nacrtu prijedloga Pravilnika o poticajima u kombiniranom prijevozu tereta,/ECon/EconReport?entityId=6346,13.11.2017.,14.12.2017.,29.12.2017.,Izvješća objavljena,/Documents/List/6346,/ECon/MainScreen?entityId=6346,6346
Središnji državni ured za šport,Savjetovanje sa zainteresiranom javnošću o Nacrtu prijedloga Uredbe o kriterijima za dodjeljivanje državnih nagrada za vrhunska sportska postignuća,/ECon/EconReport?entityId=6343,10.11.2017.,24.11.2017.,10.12.2017.,Izvješća objavljena,/Documents/List/6343,/ECon/MainScreen?entityId=6343,6343
Ministarstvo poljoprivrede,Savjetovanje s javnošću za prijedlog pravilnika o malom obalnom ribolovu,/ECon/EconReport?entityId=6328,09.11.2017.,08.12.2017.,29.12.2017.,Izvješća objavljena,/Documents/List/6328,/ECon/MainScreen?entityId=6328,6328
Ministarstvo financija,Savjetovanje o Nacrtu prijedloga Zakona o platnom prometu,/ECon/EconReport?entityId=6335,09.11.2017.,08.12.2017.,08.01.2018.,Izvješća objavljena,/Documents/List/6335,/ECon/MainScreen?entityId=6335,6335
Ministarstvo znanosti i obrazovanja,Savjetovanje s javnošću o Nacrtu prijedloga Zakona o obavljanju studentskih poslova,/ECon/EconReport?entityId=6339,09.11.2017.,09.12.2017.,09.02.2018.,Izvješća objavljena,/Documents/List/6339,/ECon/MainScreen?entityId=6339,6339
Državna geodetska uprava,Savjetovanje o Zakonu o izmjenama i dopunama Zakona o Nacionalnoj infrastrukturi prostornih podataka,/ECon/EconReport?entityId=6329,08.11.2017.,23.11.2017.,30.11.2017.,Izvješća objavljena,/Documents/List/6329,/ECon/MainScreen?entityId=6329,6329
"Ministarstvo mora, prometa i infrastrukture",Javno savjetovanje o Obrascu prethodne procjene za Nacrt prijedloga Zakona o željeznici,/ECon/EconReport?entityId=6332,08.11.2017.,23.11.2017.,30.11.2017.,Izvješća objavljena,/Documents/List/6332,/ECon/MainScreen?entityId=6332,6332
